Priority,Item,Category,Est. Cost (USD),Booked Cost (EUR),Booked Cost (USD),Savings,Status,Booked On,Ref,Link
🔴 HIGH,Travel insurance,Pre-Trip,100,,,,🔲,,
🔴 HIGH,China eSIM,Pre-Trip,20,,,,🔲,,
🔴 HIGH,Hong Kong eSIM,Pre-Trip,10,,,,🔲,,
🔴 HIGH,Japan eSIM,Pre-Trip,25,,,,🔲,,
🔴 HIGH,VPN subscription,Pre-Trip,12,,,,🔲,,
🟡 MEDIUM,Shanghai → Hong Kong,Flight,124,71,77,,🔲,,€71 w/o baggage,
🟡 MEDIUM,Hong Kong → Osaka,Flight,350,115,125,,🔲,,€115 w/o baggage,
🟡 MEDIUM,Tokyo → Beijing,Flight,155,135,147,,🔲,,€135 w/o baggage,
⚠️ INFO,Baggage fees (3 flights × 2 people),Extras,0,120-180,130-200,,,~€20-30/person/flight,
🟢 DONE,Pedro: AMS → Shanghai,Flight,,316.93,345,,✅,Feb 16 2026,KLMZ2W,
🟢 DONE,Pedro: Beijing → AMS,Flight,,316.92,345,,✅,Feb 16 2026,KLMZ2W,
🟢 DONE,Mother: AMS → Shanghai,Flight,,316.93,345,,✅,Feb 16 2026,KLMZ2X,
🟢 DONE,Mother: Beijing → AMS,Flight,,316.92,345,,✅,Feb 16 2026,KLMZ2X,
🟡 MEDIUM,Shanghai Hotel (3N),Hotel,240,,,,🔲,,
🟡 MEDIUM,Hong Kong Hotel (3N),Hotel,300,,,,🔲,,
🟡 MEDIUM,Osaka Hotel (3N),Hotel,270,,,,🔲,,
🟡 MEDIUM,Kyoto Hotel (4N),Hotel,400,,,,🔲,,
🟡 MEDIUM,Tokyo Hotel (6N),Hotel,660,,,,🔲,,
🟡 MEDIUM,Beijing Hotel (3N),Hotel,225,,,,🔲,,
🟠 BOOK SOON,USJ Studio Pass,Activity,65,,,,🔲,,
🟠 BOOK SOON,USJ Express Pass 7,Activity,100,,,,🔲,,
🟠 BOOK SOON,teamLab Borderless,Activity,28,,,,🔲,,
🟡 MEDIUM,Fuji-Q Q-Pack,Activity,67,,,,🔲,,
🟡 MEDIUM,Shinkansen Kyoto→Tokyo,Transport,95,,,,🔲,,
🟡 MEDIUM,Hakone Romancecar,Transport,16,,,,🔲,,
🟡 MEDIUM,Forbidden City tickets,Activity,8,,,,🔲,,
🟡 MEDIUM,Mubus (Great Wall),Transport,11,,,,🔲,,
